,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
47,0,0,0,0,0,0,0,0,0,-3.97,5.03,10.69776,7.68,0,0,0,0,0,-8.68,0,0,0,0,0,0,0,0,0,0,3.97,-5.03,-10.69776,-7.68,0,0,0,0,0,8.68,0,0,0,0,0,-3.97,27.37776,0,0,0,0,-5.03,-19.37776,1,0
48,0,0,-5.05,-5.67,0,0,23.75,0,0,-3.97,0,0,0,0,0,0,0,0,0,0,0,0,5.05,5.67,0,0,-23.75,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,-10.72,5.05,29.42,-27.72,3.97,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,-3.97,5.03,0,0,0,0,0,0,0,0,2.87,0,0,0,0,0,0,0,0,0,3.97,-5.03,0,0,0,0,0,0,0,0,-2.87,0,0,0,0,-3.97,9,0,0,0,0,-5.03,0,2.87,-2.87
50,16.9,17.64730435,0,0,16.9,0,69.80434783,0,0,-11.66834783,0,0,0,0,0,0,0,0,0,0,-16.9,-17.64730435,0,0,-16.9,0,-69.80434783,0,0,11.66834783,0,0,0,0,0,0,0,0,0,0,34.54730435,0,0,69.80434783,-116.02,11.66834783,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,-1.8,-3.97,0,0,0,0,-9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,3.97,0,0,0,0,9.09,0,0,0,0,0,0,0,0,-1.8,-3.97,3.97,-9.09,0,10.89,0,0,0,0,0
52,0,0,0,0,0,0,0,0,-1.8,0,0,0,0,0,-9.09,11.83,3.7,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,9.09,-11.83,-3.7,0,0,0,0,0,0,-1.8,0,0,-9.09,0,26.42,-11.83,0,0,0,-3.7
53,0,0,0,0,0,0,0,-4.78,-1.8,0,0,0,0,0,0,11.83,3.7,0,0,0,0,0,0,0,0,0,0,4.78,1.8,0,0,0,0,0,0,-11.83,-3.7,0,0,0,0,0,0,-6.58,0,0,4.78,0,17.33,-11.83,0,0,0,-3.7
54,0,0,0,0,0,0,0,-4.78,-2.746534653,0,0,0,0,0,-4.78,18.05083608,5.645654565,0,0,0,0,0,0,0,0,0,0,4.78,2.746534653,0,0,0,0,0,4.78,-18.05083608,-5.645654565,0,0,0,0,0,0,-7.526534653,0,0,0,0,31.2230253,-18.05083608,0,0,0,-5.645654565
55,0,0,0,0,0,0,0,4.78,-4.78,0,0,0,0,0,-33.229,31.41522222,9.825555556,0,0,0,0,0,0,0,0,0,0,-4.78,4.78,0,0,0,0,0,33.229,-31.41522222,-9.825555556,0,0,0,0,0,0,0,0,0,-38.009,0,79.24977778,-31.41522222,0,0,0,-9.825555556
56,0,0,0,0,0,0,0,-4.78,-2.944554455,0,0,0,0,0,-5.78,19.35226623,6.05269527,0,0,0,0,0,0,0,0,0,0,4.78,2.944554455,0,0,0,0,0,5.78,-19.35226623,-6.05269527,0,0,0,0,0,0,-7.724554455,0,0,-1,0,34.12951595,-19.35226623,0,0,0,-6.05269527
57,0,0,0,0,0,0,0,-4.78,-1.8,-3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78,1.8,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.58,-3.97,3.97,4.78,0,1.8,0,0,0,0,0
58,0,0,0,0,0,0,0,-13.8930253,-1.8,0,0,0,0,0,17.33,11.83,3.7,0,0,0,0,0,0,0,0,0,0,13.8930253,1.8,0,0,0,0,0,-17.33,-11.83,-3.7,0,0,0,0,0,0,-15.6930253,0,0,31.2230253,0,0,-11.83,0,0,0,-3.7
59,0,0,0,0,0,0,0,4.78,-4.78,-10.54255556,0,0,0,0,-33.229,0,0,0,0,0,0,0,0,0,0,0,0,-4.78,4.78,10.54255556,0,0,0,0,33.229,0,0,0,0,0,0,0,0,0,-10.54255556,10.54255556,-38.009,0,38.009,0,0,0,0,0
60,0,0,0,0,0,0,0,-8.318992069,-4.78,-10.54255556,0,0,0,0,-8.318992069,0,0,0,0,0,0,0,0,0,0,0,0,8.318992069,4.78,10.54255556,0,0,0,0,8.318992069,0,0,0,0,0,0,0,0,-13.09899207,-10.54255556,10.54255556,0,0,13.09899207,0,0,0,0,0
61,0,0,0,0,0,0,0,-5.726534653,-1.8,-3.97,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,5.726534653,1.8,3.97,0,0,0,0,-1.8,0,0,0,0,0,0,0,0,-7.526534653,-3.97,3.97,7.526534653,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,-4.78,-2.944554455,-6.494378438,0,0,0,0,-5.78,0,0,0,0,0,0,0,0,0,0,0,0,4.78,2.944554455,6.494378438,0,0,0,0,5.78,0,0,0,0,0,0,0,0,-7.724554455,-6.494378438,6.494378438,-1,0,8.724554455,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,-3.91,-7.68,0,0,0,0,0,0,2.87,0,0,0,0,0,0,0,0,0,0,0,3.91,7.68,0,0,0,0,0,0,-2.87,0,0,0,0,0,-11.59,0,0,0,0,0,3.91,10.55,-2.87
64,0,0,0,0,0,0,0,0,0,0,0,-12.1601,-7.68,0,0,0,0,0,10.55,2.87,0,0,0,0,0,0,0,0,0,0,0,12.1601,7.68,0,0,0,0,0,-10.55,-2.87,0,0,0,0,0,-19.8401,0,0,0,0,0,22.7101,0,-2.87
65,0,0,0,0,0,0,0,0,0,0,0,7.68,-7.68,0,0,0,0,0,-14.82097187,2.87,0,0,0,0,0,0,0,0,0,0,0,-7.68,7.68,0,0,0,0,0,14.82097187,-2.87,0,0,0,0,0,0,0,0,0,0,0,-22.50097187,25.37097187,-2.87
66,-36.0603522,-8.430730479,0,0,1.44836272,0,5.982367758,0,0,-1,0,0,0,0,0,0,0,0,0,0,36.0603522,8.430730479,0,0,-1.44836272,0,-5.982367758,0,0,1,0,0,0,0,0,0,0,0,0,0,-44.49108267,37.50871492,0,5.982367758,0,1,0,0,0,0,0,0,0,0
67,-32.28803077,-7.430730479,0,0,1.44836272,0,5.982367758,0,0,-1,0,0,0,0,0,0,0,0,0,0,32.28803077,7.430730479,0,0,-1.44836272,0,-5.982367758,0,0,1,0,0,0,0,0,0,0,0,0,0,-39.71876125,33.73639349,0,5.982367758,-1,1,0,0,0,0,0,0,0,0
68,0,4.48,0,0,5.75,0,23.75,0,0,-3.97,0,0,0,0,0,0,0,0,0,0,0,-4.48,0,0,-5.75,0,-23.75,0,0,3.97,0,0,0,0,0,0,0,0,0,0,4.48,5.75,0,23.75,-37.95,3.97,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,-3.97,0,0,0,0,0,-11.83,-3.7,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,11.83,3.7,0,0,0,0,0,0,0,-3.97,3.97,0,0,-15.53,11.83,0,0,0,3.7
70,-16.9,16.9,0,0,27.44084821,0,113.3426339,0,0,-18.94611607,0,0,0,0,0,0,0,0,0,0,16.9,-16.9,0,0,-27.44084821,0,-113.3426339,0,0,18.94611607,0,0,0,0,0,0,0,0,0,0,0,44.34084821,0,113.3426339,-176.6295982,18.94611607,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,-3.91,-13.68576,0,0,0,0,0,-3.91,5.11434,0,0,0,0,0,0,0,0,0,0,0,3.91,13.68576,0,0,0,0,0,3.91,-5.11434,0,0,0,0,0,-17.59576,0,0,0,0,0,0,22.7101,-5.11434
72,0,0,0,0,0,0,0,0,0,0,0,0,-7.68,0,0,0,0,0,-5,2.87,0,0,0,0,0,0,0,0,0,0,0,0,7.68,0,0,0,0,0,5,-2.87,0,0,0,0,0,-7.68,0,0,0,0,0,-5,15.55,-2.87
73,0,0,0,0,0,0,0,0,0,0,0,3.91,-7.68,0,0,0,0,0,-10,2.87,0,0,0,0,0,0,0,0,0,0,0,-3.91,7.68,0,0,0,0,0,10,-2.87,0,0,0,0,0,-3.77,0,0,0,0,0,-13.91,20.55,-2.87
74,0,0,0,0,0,0,0,0,0,0,0,3.91,7.68,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.91,-7.68,0,0,0,-3.7,0,0,0,0,0,0,0,0,11.59,0,0,3.7,0,0,-3.91,-7.68,-3.7
75,0,0,0,0,0,0,0,0,0,0,0,9.91576,7.68,0,0,0,3.7,0,-7.68,0,0,0,0,0,0,0,0,0,0,0,0,-9.91576,-7.68,0,0,0,-3.7,0,7.68,0,0,0,0,0,0,17.59576,0,0,3.7,0,0,-17.59576,0,-3.7
76,0,0,0,0,0,0,0,0,0,0,0,9.13376,7.68,0,0,0,3.7,0,-6.68,0,0,0,0,0,0,0,0,0,0,0,0,-9.13376,-7.68,0,0,0,-3.7,0,6.68,0,0,0,0,0,0,16.81376,0,0,3.7,0,0,-15.81376,-1,-3.7
77,0,0,0,0,0,0,0,0,0,0,0,-3.91,-13.68576,0,0,0,-6.5934,0,-3.91,0,0,0,0,0,0,0,0,0,0,0,0,3.91,13.68576,0,0,0,6.5934,0,3.91,0,0,0,0,0,0,-17.59576,0,0,-6.5934,0,0,0,17.59576,6.5934
78,0,0,0,0,0,0,0,0,0,0,0,7.68,-7.68,0,0,0,-3.7,0,-14.82097187,0,0,0,0,0,0,0,0,0,0,0,0,-7.68,7.68,0,0,0,3.7,0,14.82097187,0,0,0,0,0,0,0,0,0,-3.7,0,0,-22.50097187,22.50097187,3.7
79,0,0,0,0,0,0,0,0,0,0,0,0,-7.68,0,0,0,-3.7,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68,0,0,0,3.7,0,5,0,0,0,0,0,0,-7.68,0,0,-3.7,0,0,-5,12.68,3.7
80,0,0,0,0,0,0,0,0,0,0,0,3.91,7.68,0,0,0,13.6010453,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,-3.91,-7.68,0,0,0,-13.6010453,0,0,-7.68,0,0,0,0,0,11.59,0,0,13.6010453,0,0,-3.91,0,-21.2810453
81,0,0,0,0,0,0,0,0,0,0,0,3.91,7.68,0,0,0,12.31184669,0,0,6.68,0,0,0,0,0,0,0,0,0,0,0,-3.91,-7.68,0,0,0,-12.31184669,0,0,-6.68,0,0,0,0,0,11.59,0,0,12.31184669,0,0,-3.91,-1,-18.99184669
82,0,0,0,0,0,0,0,0,0,0,0,4.692,7.68,0,0,0,12.31184669,0,-1,6.68,0,0,0,0,0,0,0,0,0,0,0,-4.692,-7.68,0,0,0,-12.31184669,0,1,-6.68,0,0,0,0,0,12.372,0,0,12.31184669,0,0,-5.692,0,-18.99184669
83,0,0,0,0,0,0,0,0,0,0,0,-3.91,-13.68576,0,0,0,-29.27782927,0,-3.91,-17.59576,0,0,0,0,0,0,0,0,0,0,0,3.91,13.68576,0,0,0,29.27782927,0,3.91,17.59576,0,0,0,0,0,-17.59576,0,0,-29.27782927,0,0,0,0,46.87358927
84,0,0,0,0,0,0,0,0,0,0,0,-3.91,-13.68576,0,0,0,-27.98863066,0,-3.91,-16.59576,0,0,0,0,0,0,0,0,0,0,0,3.91,13.68576,0,0,0,27.98863066,0,3.91,16.59576,0,0,0,0,0,-17.59576,0,0,-27.98863066,0,0,0,1,44.58439066
85,0,0,0,0,0,0,0,0,0,0,0,-3.91,-12.14976,0,0,0,-23.979223,0,-2.91,-14.05976,0,0,0,0,0,0,0,0,0,0,0,3.91,12.14976,0,0,0,23.979223,0,2.91,14.05976,0,0,0,0,0,-16.05976,0,0,-23.979223,0,0,1,1,38.038983
