,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37,line_38,line_39,line_40,Cons_1,Cons_2,Cons_3,Cons_4,Cons_5,Cons_6,Cons_7,Cons_8,Cons_9,Cons_10,Cons_11,Cons_12,Cons_13,Cons_14
1/1/2007 20:00,174.1082894,75.73356741,79.46237058,56.35044158,37.89755804,-33.88560863,-79.4605193,-5.679766208,12.00511846,18.97060615,18.544232,15.96194025,37.1164547,-75.05202079,69.37225459,6.455768,15.92160505,-11.544232,3.761940252,13.87839495,-174.1082894,-75.73356741,-79.46237058,-56.35044158,-37.89755804,33.88560863,79.4605193,5.679766208,-12.00511846,-18.97060615,-18.544232,-15.96194025,-37.1164547,75.05202079,-69.37225459,-6.455768,-15.92160505,11.544232,-3.761940252,-13.87839495,-249.8418568,0.397919167,113.3479792,95.6,15.2,-52.65202079,0,-75.05202079,59,18,7,12.2,27,29.8
1/1/2007 21:00,174.1082894,75.73356741,79.46237058,56.35044158,37.89755804,-33.88560863,-79.4605193,-5.679766208,12.00511846,18.97060615,18.544232,15.96194025,37.1164547,-75.05202079,69.37225459,6.455768,15.92160505,-11.544232,3.761940252,13.87839495,-174.1082894,-75.73356741,-79.46237058,-56.35044158,-37.89755804,33.88560863,79.4605193,5.679766208,-12.00511846,-18.97060615,-18.544232,-15.96194025,-37.1164547,75.05202079,-69.37225459,-6.455768,-15.92160505,11.544232,-3.761940252,-13.87839495,-249.8418568,0.397919167,113.3479792,95.6,15.2,-52.65202079,0,-75.05202079,59,18,7,12.2,27,29.8
1/1/2007 22:00,165.1862288,75.57201437,75.78955867,57.35280158,40.72643734,-28.60090601,-71.97656258,13.24702572,15.07256356,33.20555475,12.59932267,11.85341088,27.46227715,-35.96586736,49.21289308,6.218804464,13.33297007,-7.154641414,2.728085884,9.718308955,-165.1862288,-75.57201437,-75.78955867,-57.35280158,-40.72643734,28.60090601,71.97656258,-13.24702572,-15.07256356,-33.20555475,-12.59932267,-11.85341088,-27.46227715,35.96586736,-49.21289308,-6.218804464,-13.33297007,7.154641414,-2.728085884,-9.718308955,-240.7582432,-8.682568783,104.3904647,72.40886887,11.11633439,-18.70945595,0,-35.96586736,44.7336821,13.37344588,5.444681256,9.125324997,20.47205408,23.05127903
1/1/2007 23:00,143.0747711,68.63849101,66.80694513,53.27315344,39.3569981,-22.40921775,-60.54921836,27.47318023,16.03359767,40.29438137,6.977712324,6.993143656,16.91925227,-3.02E-08,27.47318026,4.348199367,9.777182681,-3.675506714,2.077020784,6.223442244,-143.0747711,-68.63849101,-66.80694513,-53.27315344,-39.3569981,22.40921775,60.54921836,-27.47318023,-16.03359767,-40.29438137,-6.977712324,-6.993143656,-16.91925227,3.02E-08,-27.47318026,-4.348199367,-9.777182681,3.675506714,-2.077020784,-6.223442244,-211.7132621,-16.36232555,89.21616288,47.90637614,7.151889384,9.404273122,0,-3.02E-08,29.38139588,8.023706081,3.30220561,4.916122872,12.77283081,16.00062493
1/2/2007 0:00,103.4293254,49.83955172,47.66470371,38.90495012,28.73418699,-15.0643781,-44.25125557,20.28748037,11.83995793,29.34318712,5.344602238,5.087614318,12.45274408,-2.30E-09,20.28748038,2.981577005,7.319670817,-2.817333295,1.60474461,4.910915919,-103.4293254,-49.83955172,-47.66470371,-38.90495012,-28.73418699,15.0643781,44.25125557,-20.28748037,-11.83995793,-29.34318712,-5.344602238,-5.087614318,-12.45274408,2.30E-09,-20.28748038,-2.981577005,-7.319670817,2.817333295,-1.60474461,-4.910915919,-153.2688771,-11.87451546,62.72908181,35.96438929,4.97929601,6.458226481,0,-2.30E-09,21.82619048,5.7989103,2.527268944,3.482869708,9.146572772,12.23058674
1/2/2007 1:00,78.73274612,37.76234424,36.7963928,29.46642527,21.6465187,-12.21459263,-33.99723184,15.48699427,9.038350609,21.78397401,4.274582894,3.708418659,9.460080903,-1.47E-09,15.48699427,1.632958528,5.38391107,-2.466970182,1.419422464,4.049760476,-78.73274612,-37.76234424,-36.7963928,-29.46642527,-21.6465187,12.21459263,33.99723184,-15.48699427,-9.038350609,-21.78397401,-4.274582894,-3.708418659,-9.460080903,1.47E-09,-15.48699427,-1.632958528,-5.38391107,2.466970182,-1.419422464,-4.049760476,-116.4950904,-9.176590645,49.01098543,26.7237196,3.627657088,4.340891551,0,-1.47E-09,17.50847529,4.09992871,1.807612712,2.288996195,6.829742892,9.433671545
1/2/2007 2:00,66.08280184,31.59830345,30.89410136,24.5882224,18.04443419,-10.41168142,-28.44524236,13.06778517,7.62647819,18.18483489,3.672479142,3.096040255,8.027728136,-1.15E-09,13.06778517,1.224858756,4.565284782,-2.133460181,1.269632212,3.520828655,-66.08280184,-31.59830345,-30.89410136,-24.5882224,-18.04443419,10.41168142,28.44524236,-13.06778517,-7.62647819,-18.18483489,-3.672479142,-3.096040255,-8.027728136,1.15E-09,-13.06778517,-1.224858756,-4.565284782,2.133460181,-1.269632212,-3.520828655,-97.68110529,-7.4439561,41.30578278,21.92751998,3.012660383,3.388587361,0,-1.15E-09,14.90411982,3.358318937,1.539018961,1.826408044,5.776531693,8.086113437
1/2/2007 3:00,59.26577828,28.32213653,27.71775928,22.05813577,16.16179682,-9.343356756,-25.62520228,11.77228256,6.870411094,16.21309529,3.373462385,2.724673686,7.238331128,-1.00E-09,11.77228256,0.942437282,4.135714782,-1.990344282,1.230431361,3.301270936,-59.26577828,-28.32213653,-27.71775928,-22.05813577,-16.16179682,9.343356756,25.62520228,-11.77228256,-6.870411094,-16.21309529,-3.373462385,-2.724673686,-7.238331128,1.00E-09,-11.77228256,-0.942437282,-4.135714782,1.990344282,-1.230431361,-3.301270936,-87.58791482,-6.671913597,37.06111604,19.69728764,2.645635795,2.876628087,0,-1.00E-09,13.56454159,2.932781564,1.383118103,1.494242325,5.167491553,7.436985718
1/2/2007 4:00,58.60510483,28.00022506,27.41058893,21.80836362,15.97369533,-9.245299755,-25.35608001,11.63094843,6.787927208,16.00473596,3.343075111,2.685393061,7.151187225,-1.12E-09,11.63094843,0.914591396,4.085891679,-1.973915718,1.223908149,3.275509715,-58.60510483,-28.00022506,-27.41058893,-21.80836362,-15.97369533,9.245299755,25.35608001,-11.63094843,-6.787927208,-16.00473596,-3.343075111,-2.685393061,-7.151187225,1.12E-09,-11.63094843,-0.914591396,-4.085891679,1.973915718,-1.223908149,-3.275509715,-86.60532988,-6.587543044,36.65588868,19.50026824,2.613104407,2.825080564,0,-1.12E-09,13.41839256,2.888507113,1.369159394,1.461484912,5.09958566,7.361401394
1/2/2007 5:00,61.16413431,29.21043196,28.6722194,22.74099446,16.65523877,-9.744180144,-26.44690634,12.07727675,7.048408477,16.66848407,3.462616965,2.805128679,7.412689288,-1.04E-09,12.07727676,0.987882208,4.238974141,-2.040721312,1.241099991,3.383950936,-61.16413431,-29.21043196,-28.6722194,-22.74099446,-16.65523877,9.744180144,26.44690634,-12.07727675,-7.048408477,-16.66848407,-3.462616965,-2.805128679,-7.412689288,1.04E-09,-12.07727676,-0.987882208,-4.238974141,2.040721312,-1.241099991,-3.383950936,-90.37456628,-6.904318319,38.41639954,20.31803543,2.750280324,2.988049141,0,-1.04E-09,13.89882888,3.02860352,1.421895654,1.564028689,5.269838342,7.622925077
